order_id,customer_id,pet_id,order_date,product_id,qty_lbs,unit_price,total_amount,delivery_status,rating,channel
BB000001,C0001,PET0001,2026-02-13,P07,6.0,13.5,81.0,Delivered,,Pickup
BB000002,C0001,PET0001,2026-02-26,P11,3.0,12.0,36.0,Delivered,,Re-order Email
BB000003,C0001,PET0001,2026-03-11,P09,5.0,12.5,62.5,Delivered,,Re-order Email
BB000004,C0001,PET0001,2026-03-19,P11,4.0,12.0,48.0,Delivered,,Re-order Email
BB000005,C0001,PET0001,2026-03-28,P11,5.0,12.0,60.0,Delivered,,Web
BB000006,C0001,PET0001,2026-04-10,P01,4.0,14.5,58.0,Delivered,,Web
BB000007,C0002,PET0002,2025-11-21,P03,3.0,13.5,40.5,Delivered,,Web
BB000008,C0002,PET0002,2025-12-02,P01,5.0,14.5,72.5,Delivered,,Web
BB000009,C0002,PET0002,2025-12-14,P11,6.0,12.0,72.0,Delivered,5,Re-order Email
BB000010,C0002,PET0002,2025-12-22,P03,4.0,13.5,54.0,Delivered,3,Web
BB000011,C0002,PET0002,2025-12-29,P03,5.0,13.5,67.5,Delivered,5,Web
BB000012,C0002,PET0002,2026-01-11,P07,7.0,13.5,94.5,Delivered,,Re-order Email
BB000013,C0002,PET0002,2026-01-18,P01,6.0,14.5,87.0,Delivered,5,Pickup
BB000014,C0002,PET0002,2026-01-31,P03,6.0,13.5,81.0,Delivered,,Web
BB000015,C0002,PET0002,2026-02-12,P01,3.0,14.5,43.5,Delivered,5,Web
BB000016,C0002,PET0002,2026-02-20,P03,5.0,13.5,67.5,Delivered,5,Web
BB000017,C0002,PET0002,2026-02-28,P03,4.0,13.5,54.0,Delivered,,Pickup
BB000018,C0002,PET0002,2026-03-09,P03,2.0,13.5,27.0,Delivered,,Web
BB000019,C0003,PET0003,2026-04-24,P06,3.0,14.5,43.5,Delivered,,Web
BB000020,C0004,PET0004,2026-05-03,P02,6.0,13.0,78.0,Scheduled,,Web
BB000021,C0005,PET0005,2025-06-21,P06,7.0,14.5,101.5,Delivered,4,Web
BB000022,C0005,PET0005,2025-06-30,P12,6.0,12.5,75.0,Delivered,,Pickup
BB000023,C0005,PET0005,2025-07-10,P06,7.0,14.5,101.5,Delivered,,Web
BB000024,C0005,PET0005,2025-07-23,P06,5.0,14.5,72.5,Delivered,,Re-order Email
BB000025,C0005,PET0005,2025-08-04,P06,7.0,14.5,101.5,Delivered,,Pickup
BB000026,C0005,PET0005,2025-08-12,P03,4.0,13.5,54.0,Delivered,,Web
BB000027,C0005,PET0005,2025-08-20,P01,5.0,14.5,72.5,Delivered,3,Web
BB000028,C0005,PET0005,2025-09-02,P06,4.0,14.5,58.0,Delivered,5,Web
BB000029,C0005,PET0005,2025-09-14,P06,4.0,14.5,58.0,Delivered,,Web
BB000030,C0005,PET0005,2025-09-26,P06,6.0,14.5,87.0,Delivered,,Web
BB000031,C0005,PET0005,2025-10-06,P06,4.0,14.5,58.0,Delivered,3,Web
BB000032,C0005,PET0005,2025-10-20,P06,5.0,14.5,72.5,Delivered,,Web
BB000033,C0005,PET0005,2025-10-31,P06,3.0,14.5,43.5,Delivered,,Web
BB000034,C0005,PET0005,2025-11-07,P04,5.0,14.0,70.0,Delivered,5,Web
BB000035,C0005,PET0005,2025-11-19,P10,5.0,13.0,65.0,Delivered,5,Web
BB000036,C0005,PET0005,2025-12-01,P06,4.0,14.5,58.0,Delivered,,Re-order Email
BB000037,C0005,PET0005,2025-12-15,P06,7.0,14.5,101.5,Delivered,,Web
BB000038,C0005,PET0005,2025-12-23,P06,6.0,14.5,87.0,Delivered,,Web
BB000039,C0005,PET0005,2026-01-03,P06,6.0,14.5,87.0,Delivered,,Web
BB000040,C0005,PET0005,2026-01-12,P06,6.0,14.5,87.0,Delivered,,Web
BB000041,C0005,PET0005,2026-01-25,P06,6.0,14.5,87.0,Delivered,,Web
BB000042,C0005,PET0005,2026-02-08,P01,5.0,14.5,72.5,Delivered,5,Web
BB000043,C0005,PET0005,2026-02-19,P07,4.0,13.5,54.0,Delivered,,Pickup
BB000044,C0005,PET0005,2026-03-03,P06,4.0,14.5,58.0,Delivered,,Web
BB000045,C0005,PET0005,2026-03-14,P06,6.0,14.5,87.0,Delivered,5,Pickup
BB000046,C0005,PET0005,2026-03-25,P06,4.0,14.5,58.0,Delivered,,Web
BB000047,C0005,PET0005,2026-04-03,P06,4.0,14.5,58.0,Delivered,5,Re-order Email
BB000048,C0005,PET0005,2026-04-10,P09,4.0,12.5,50.0,Delivered,,Web
BB000049,C0005,PET0005,2026-04-23,P06,6.0,14.5,87.0,Delivered,,Re-order Email
BB000050,C0006,PET0006,2026-04-29,P02,4.0,13.0,52.0,Delivered,,Web
BB000051,C0007,PET0007,2026-01-27,P11,5.0,12.0,60.0,Delivered,,Web
BB000052,C0007,PET0007,2026-02-03,P11,4.0,12.0,48.0,Delivered,,Web
BB000053,C0007,PET0007,2026-02-11,P12,7.0,12.5,87.5,Delivered,,Web
BB000054,C0007,PET0007,2026-02-25,P11,3.0,12.0,36.0,Delivered,4,Re-order Email
BB000055,C0007,PET0007,2026-03-11,P10,4.0,13.0,52.0,Delivered,,Re-order Email
BB000056,C0007,PET0007,2026-03-20,P11,4.0,12.0,48.0,Delivered,,Pickup
BB000057,C0007,PET0007,2026-04-01,P11,6.0,12.0,72.0,Delivered,,Web
BB000058,C0007,PET0007,2026-04-12,P11,3.0,12.0,36.0,Delivered,,Web
BB000059,C0007,PET0007,2026-04-22,P04,4.0,14.0,56.0,Delivered,,Re-order Email
BB000060,C0008,PET0008,2026-04-11,P06,3.0,14.5,43.5,Delivered,,Web
BB000061,C0008,PET0008,2026-04-22,P07,4.0,13.5,54.0,Delivered,,Web
BB000062,C0009,PET0009,2026-01-16,P12,6.0,12.5,75.0,Delivered,,Web
BB000063,C0009,PET0009,2026-01-26,P12,7.0,12.5,87.5,Delivered,3,Web
BB000064,C0009,PET0009,2026-02-02,P01,7.0,14.5,101.5,Delivered,,Re-order Email
BB000065,C0009,PET0009,2026-02-12,P12,7.0,12.5,87.5,Delivered,4,Web
BB000066,C0009,PET0009,2026-02-26,P12,6.0,12.5,75.0,Delivered,,Re-order Email
BB000067,C0009,PET0009,2026-03-06,P12,3.0,12.5,37.5,Delivered,,Web
BB000068,C0009,PET0009,2026-03-15,P08,5.0,15.5,77.5,Delivered,,Web
BB000069,C0009,PET0009,2026-03-22,P12,7.0,12.5,87.5,Delivered,5,Web
BB000070,C0009,PET0009,2026-04-01,P12,7.0,12.5,87.5,Delivered,,Web
BB000071,C0009,PET0009,2026-04-14,P12,4.0,12.5,50.0,Delivered,,Web
BB000072,C0009,PET0009,2026-04-24,P08,4.0,15.5,62.0,Delivered,3,Web
BB000073,C0009,PET0010,2026-01-18,P09,4.0,12.5,50.0,Delivered,5,Re-order Email
BB000074,C0009,PET0010,2026-01-31,P08,4.0,15.5,62.0,Delivered,4,Web
BB000075,C0009,PET0010,2026-02-10,P09,5.0,12.5,62.5,Delivered,,Web
BB000076,C0009,PET0010,2026-02-20,P09,4.0,12.5,50.0,Delivered,,Web
BB000077,C0009,PET0010,2026-03-04,P09,4.0,12.5,50.0,Delivered,4,Pickup
BB000078,C0009,PET0010,2026-03-15,P11,4.0,12.0,48.0,Delivered,5,Web
BB000079,C0009,PET0010,2026-03-29,P09,3.0,12.5,37.5,Delivered,5,Pickup
