pet_id,customer_id,pet_name,breed,size,age_years,life_stage,weight_lbs,allergy,activity_level,birthday_month,birthday_day
PET0001,C0001,Pepper,French Bulldog,small,1.1,adult,24.1,,low,12,6
PET0002,C0002,Murphy,Pembroke Welsh Corgi,small,2.6,adult,25.9,grain,high,4,26
PET0003,C0003,Murphy,French Bulldog,small,2.0,adult,25.6,,medium,5,16
PET0004,C0004,Lola,Mixed Breed,medium,0.6,puppy,64.4,,high,1,13
PET0005,C0005,Maggie,Labrador,large,16.0,senior,61.2,,medium,2,13
PET0006,C0006,Ruby,French Bulldog,small,1.0,adult,20.7,,medium,3,1
PET0007,C0007,Bear,Labrador,large,15.1,senior,65.0,,high,8,22
PET0008,C0008,Oliver,Dachshund,small,2.4,adult,22.3,chicken,medium,3,27
PET0009,C0009,Tucker,Australian Shepherd,medium,9.2,senior,59.8,dairy,medium,10,12
PET0010,C0009,Sophie,Mixed Breed,medium,5.1,adult,45.6,dairy,medium,7,26
PET0011,C0010,Olive,Beagle,small,0.3,puppy,29.2,,medium,5,14
PET0012,C0011,Bailey,Poodle,medium,7.6,senior,57.7,,medium,9,8
PET0013,C0012,Pickles,Poodle,medium,7.0,senior,67.8,chicken,medium,11,3
PET0014,C0012,Pepper,Pembroke Welsh Corgi,small,0.2,puppy,24.4,,high,8,3
PET0015,C0013,Oliver,Mixed Breed,medium,8.6,senior,20.7,,high,1,15
PET0016,C0014,Stella,Australian Shepherd,medium,6.6,adult,56.5,,high,2,8
PET0017,C0015,Pickles,Australian Shepherd,medium,8.6,senior,47.7,,medium,2,13
PET0018,C0016,Pickles,Beagle,small,2.0,adult,20.8,,medium,6,2
PET0019,C0016,Mochi,French Bulldog,small,1.2,adult,20.8,,high,7,27
PET0020,C0017,Cooper,Rottweiler,large,2.7,adult,107.4,,low,3,21
PET0021,C0018,Penny,Australian Shepherd,medium,7.0,senior,51.3,,medium,4,18
PET0022,C0019,Cooper,Pembroke Welsh Corgi,small,2.5,adult,28.4,,medium,5,9
PET0023,C0020,Buddy,Poodle,medium,6.8,adult,52.1,chicken,medium,2,22
PET0024,C0021,Scout,French Bulldog,small,7.9,senior,18.0,,medium,12,11
PET0025,C0022,Pickles,Labrador,large,9.1,senior,77.7,,medium,6,16
PET0026,C0022,Lucy,Mixed Breed,medium,5.4,adult,25.8,grain,high,9,24
PET0027,C0023,Scout,Labrador,large,7.6,senior,62.0,grain,high,9,21
PET0028,C0024,Charlie,Dachshund,small,3.7,adult,17.7,,medium,9,3
PET0029,C0025,Banjo,Labrador,large,1.5,adult,74.2,,high,2,16
PET0030,C0026,Luna,Shih Tzu,small,1.5,adult,13.5,,medium,5,14
PET0031,C0027,Daisy,German Shorthaired Pointer,large,2.5,adult,54.9,,low,4,21
PET0032,C0028,Charlie,German Shepherd,large,9.4,senior,58.9,,medium,5,10
PET0033,C0029,Bella,German Shepherd,large,6.8,adult,69.2,,medium,8,11
PET0034,C0030,Lola,French Bulldog,small,2.2,adult,25.6,,medium,1,8
PET0035,C0030,Buddy,Labrador,large,5.6,adult,64.6,,low,7,21
PET0036,C0031,Tucker,Australian Shepherd,medium,9.3,senior,56.0,,medium,5,4
PET0037,C0032,Daisy,Shih Tzu,small,0.4,puppy,13.2,,low,11,4
PET0038,C0033,Ruby,Pembroke Welsh Corgi,small,14.2,senior,26.8,,low,12,26
PET0039,C0033,Bella,Rottweiler,large,15.5,senior,108.1,,low,10,12
PET0040,C0034,Lily,Mixed Breed,medium,0.2,puppy,35.8,,high,8,8
PET0041,C0035,Waffles,Labrador,large,6.8,adult,63.4,,medium,9,14
PET0042,C0035,Mochi,French Bulldog,small,6.6,adult,18.1,,medium,6,1
PET0043,C0036,Riley,Beagle,small,4.8,adult,20.8,,high,2,14
PET0044,C0036,Charlie,Beagle,small,1.2,adult,20.4,,medium,5,16
PET0045,C0037,Beans,Boxer,large,3.5,adult,55.9,,high,11,26
PET0046,C0038,Beans,Labrador,large,6.9,adult,78.0,,low,2,26
PET0047,C0039,Biscuit,Boxer,large,7.6,senior,61.9,,high,8,13
PET0048,C0040,Pickles,Yorkshire Terrier,small,10.4,senior,4.7,,medium,4,24
PET0049,C0040,Max,Yorkshire Terrier,small,0.6,puppy,6.4,,medium,11,21
PET0050,C0041,Bella,German Shepherd,large,9.1,senior,80.5,chicken,low,3,12
PET0051,C0042,Scout,Labrador,large,2.7,adult,79.8,dairy,medium,4,20
PET0052,C0043,Pepper,Mixed Breed,medium,1.3,adult,48.9,,medium,4,20
PET0053,C0044,Lola,Poodle,medium,2.6,adult,44.4,,low,4,5
PET0054,C0045,Bella,Rottweiler,large,7.6,senior,96.3,,low,7,15
PET0055,C0046,Max,Boxer,large,6.7,adult,76.7,,low,8,9
PET0056,C0046,Banjo,Golden Retriever,large,3.2,adult,55.7,,medium,10,15
PET0057,C0047,Duke,Bulldog,medium,2.9,adult,45.2,,low,4,23
PET0058,C0047,Scout,Mixed Breed,medium,0.3,puppy,47.3,,medium,12,22
PET0059,C0048,Maggie,Australian Shepherd,medium,3.1,adult,50.9,,low,4,12
PET0060,C0049,Max,German Shorthaired Pointer,large,3.1,adult,66.2,,medium,5,25
PET0061,C0050,Waffles,Golden Retriever,large,3.7,adult,63.1,,medium,6,21
PET0062,C0051,Finn,Poodle,medium,0.7,puppy,62.6,chicken,medium,1,11
PET0063,C0052,Lucy,Bulldog,medium,6.5,adult,41.3,,medium,9,19
PET0064,C0053,Milo,Mixed Breed,medium,4.3,adult,54.9,,medium,1,15
PET0065,C0054,Milo,Australian Shepherd,medium,3.5,adult,44.9,,medium,5,10
PET0066,C0055,Banjo,Pembroke Welsh Corgi,small,7.3,senior,26.5,,medium,3,26
PET0067,C0055,Ruby,Labrador,large,7.4,senior,55.6,,low,10,1
PET0068,C0056,Bailey,Poodle,medium,0.6,puppy,61.1,,medium,1,8
PET0069,C0056,Bear,French Bulldog,small,7.0,senior,19.8,,medium,12,16
PET0070,C0056,Beans,Labrador,large,4.9,adult,58.9,,medium,8,22
PET0071,C0057,Banjo,Cavalier King Charles,small,7.3,senior,17.2,,low,8,1
PET0072,C0058,Stella,Golden Retriever,large,1.6,adult,62.1,,medium,9,14
PET0073,C0059,Penny,Golden Retriever,large,2.9,adult,68.6,chicken,medium,1,13
PET0074,C0060,Duke,Australian Shepherd,medium,7.4,senior,59.5,,medium,4,24
PET0075,C0060,Toby,Golden Retriever,large,0.6,puppy,65.4,,high,5,9
PET0076,C0061,Rocky,Pembroke Welsh Corgi,small,4.6,adult,24.8,,medium,10,2
PET0077,C0062,Riley,Golden Retriever,large,8.5,senior,67.1,chicken,high,11,9
PET0078,C0063,Toby,Dachshund,small,7.0,senior,26.4,,low,3,6
PET0079,C0064,Mochi,German Shorthaired Pointer,large,7.4,senior,51.8,,high,1,19
PET0080,C0065,Olive,Labrador,large,11.7,senior,73.4,,low,6,4
PET0081,C0066,Bailey,Pembroke Welsh Corgi,small,4.1,adult,24.0,,high,4,9
PET0082,C0067,Tucker,Labrador,large,4.6,adult,79.4,chicken,medium,3,20
PET0083,C0067,Jack,Australian Shepherd,medium,4.4,adult,50.9,,low,8,17
PET0084,C0068,Rocky,German Shorthaired Pointer,large,8.0,senior,50.1,,high,4,15
PET0085,C0069,Luna,German Shepherd,large,4.0,adult,62.5,,medium,7,10
PET0086,C0070,Rocky,Poodle,medium,7.4,senior,48.5,,medium,6,1
PET0087,C0070,Toby,Golden Retriever,large,3.6,adult,71.0,,high,1,22
PET0088,C0071,Sophie,French Bulldog,small,0.9,puppy,22.1,,medium,6,26
PET0089,C0071,Sophie,Bulldog,medium,0.4,puppy,44.2,,medium,10,25
PET0090,C0072,Pepper,Dachshund,small,5.1,adult,23.5,chicken,medium,3,14
PET0091,C0073,Biscuit,Poodle,medium,0.9,puppy,62.4,,high,3,3
PET0092,C0074,Charlie,French Bulldog,small,5.0,adult,22.4,,medium,10,20
PET0093,C0074,Bella,Shih Tzu,small,7.7,senior,14.5,,medium,10,7
PET0094,C0075,Cooper,German Shepherd,large,0.9,puppy,57.7,,medium,9,22
PET0095,C0076,Rocky,Mixed Breed,medium,3.3,adult,20.7,,medium,7,13
PET0096,C0076,Pickles,Australian Shepherd,medium,0.7,puppy,52.2,,medium,5,2
PET0097,C0077,Finn,Yorkshire Terrier,small,0.2,puppy,5.2,,high,10,10
PET0098,C0078,Oliver,Rottweiler,large,7.1,senior,90.6,,low,6,19
PET0099,C0079,Olive,Australian Shepherd,medium,5.7,adult,58.8,,medium,8,15
PET0100,C0080,Milo,Labrador,large,4.9,adult,68.7,,low,1,21
PET0101,C0081,Banjo,German Shepherd,large,6.3,adult,68.7,,low,1,7
PET0102,C0082,Luna,French Bulldog,small,2.6,adult,18.7,,medium,5,11
PET0103,C0083,Tucker,Golden Retriever,large,10.0,senior,71.9,,medium,9,7
PET0104,C0084,Lily,Labrador,large,5.2,adult,77.1,,low,9,8
PET0105,C0085,Olive,Golden Retriever,large,1.6,adult,72.0,,high,2,2
PET0106,C0086,Biscuit,Mixed Breed,medium,4.5,adult,67.1,chicken,low,8,27
PET0107,C0087,Duke,German Shepherd,large,3.4,adult,87.5,,high,1,9
PET0108,C0088,Luna,Cavalier King Charles,small,4.4,adult,15.7,dairy,medium,5,9
PET0109,C0089,Daisy,Cavalier King Charles,small,1.9,adult,16.1,,low,5,14
PET0110,C0090,Duke,Mixed Breed,medium,5.0,adult,49.9,,high,5,21
PET0111,C0091,Scout,Labrador,large,13.4,senior,60.1,,low,11,2
PET0112,C0092,Olive,Mixed Breed,medium,4.1,adult,29.4,grain,medium,10,23
PET0113,C0093,Luna,Cavalier King Charles,small,7.5,senior,17.7,,medium,12,21
PET0114,C0094,Lucy,Labrador,large,2.0,adult,61.6,,high,4,23
PET0115,C0095,Sadie,Yorkshire Terrier,small,0.9,puppy,4.7,,medium,5,3
PET0116,C0095,Max,Boxer,large,7.9,senior,75.7,,medium,5,15
PET0117,C0095,Lily,German Shepherd,large,5.9,adult,75.2,chicken,high,11,27
PET0118,C0096,Murphy,Shih Tzu,small,5.9,adult,10.7,chicken,low,5,7
PET0119,C0096,Ruby,German Shepherd,large,5.9,adult,77.9,,low,8,18
PET0120,C0097,Toby,Golden Retriever,large,11.1,senior,65.2,beef,medium,10,19
PET0121,C0098,Daisy,Mixed Breed,medium,3.7,adult,39.5,,medium,8,11
PET0122,C0099,Jack,German Shepherd,large,11.8,senior,62.4,,high,4,22
PET0123,C0099,Cooper,Cavalier King Charles,small,7.4,senior,15.3,,medium,2,24
PET0124,C0100,Olive,Labrador,large,12.0,senior,72.3,,medium,10,22
PET0125,C0100,Bailey,Labrador,large,0.8,puppy,72.6,,medium,2,20
PET0126,C0101,Olive,French Bulldog,small,12.6,senior,22.5,,medium,6,3
PET0127,C0102,Sophie,Mixed Breed,medium,5.5,adult,52.1,grain,low,11,22
PET0128,C0103,Scout,French Bulldog,small,8.6,senior,27.2,,low,11,7
PET0129,C0104,Oliver,Mixed Breed,medium,2.2,adult,64.2,chicken,low,1,15
PET0130,C0105,Sophie,Dachshund,small,11.4,senior,28.4,chicken,medium,12,17
PET0131,C0106,Buddy,Mixed Breed,medium,6.6,adult,40.8,,medium,5,8
PET0132,C0107,Rocky,French Bulldog,small,0.9,puppy,23.3,,low,5,12
PET0133,C0107,Waffles,French Bulldog,small,3.6,adult,20.2,dairy,medium,4,13
PET0134,C0108,Penny,Labrador,large,3.4,adult,58.7,,high,8,23
PET0135,C0109,Charlie,Boxer,large,8.1,senior,64.4,,medium,8,3
PET0136,C0110,Milo,Labrador,large,11.5,senior,66.0,,medium,7,10
PET0137,C0111,Finn,German Shepherd,large,3.2,adult,89.7,,low,7,7
PET0138,C0112,Tucker,Yorkshire Terrier,small,2.0,adult,4.0,,medium,9,12
PET0139,C0113,Daisy,Boxer,large,8.6,senior,59.8,,medium,8,13
PET0140,C0114,Oliver,Cavalier King Charles,small,3.7,adult,16.7,,high,6,4
PET0141,C0114,Roxy,Mixed Breed,medium,5.1,adult,26.6,,low,3,3
PET0142,C0115,Beans,Boxer,large,5.3,adult,77.8,,medium,9,6
PET0143,C0116,Roxy,Cavalier King Charles,small,7.0,senior,17.2,,low,9,9
PET0144,C0117,Toby,Beagle,small,4.1,adult,25.9,,medium,10,18
PET0145,C0118,Sadie,German Shepherd,large,2.7,adult,62.0,,low,11,13
PET0146,C0119,Max,Dachshund,small,2.5,adult,28.6,,low,12,25
PET0147,C0119,Duke,Pembroke Welsh Corgi,small,10.7,senior,27.6,,medium,2,13
PET0148,C0120,Gus,Yorkshire Terrier,small,7.0,senior,5.9,,medium,4,10
PET0149,C0121,Pickles,Labrador,large,1.5,adult,78.2,,medium,11,2
PET0150,C0122,Tucker,German Shepherd,large,7.9,senior,82.1,,low,11,12
PET0151,C0123,Penny,Cavalier King Charles,small,11.1,senior,16.9,,medium,5,8
PET0152,C0124,Pepper,Poodle,medium,3.0,adult,40.6,,medium,9,17
PET0153,C0124,Sophie,Golden Retriever,large,4.2,adult,68.4,,medium,1,6
PET0154,C0125,Finn,German Shepherd,large,4.6,adult,88.2,,medium,10,17
PET0155,C0126,Lucy,Mixed Breed,medium,8.2,senior,35.6,,low,5,9
PET0156,C0127,Murphy,Mixed Breed,medium,11.3,senior,69.2,,medium,6,12
